"Ano/mês atendimento";"Internações"
"2007";207
"..Agosto/2007";12
"..Setembro/2007";5
"..Outubro/2007";10
"..Novembro/2007";45
"..Dezembro/2007";135
"2008";6100
"..Janeiro/2008";371
"..Fevereiro/2008";543
"..Março/2008";499
"..Abril/2008";679
"..Maio/2008";852
"..Junho/2008";793
"..Julho/2008";558
"..Agosto/2008";409
"..Setembro/2008";416
"..Outubro/2008";348
"..Novembro/2008";302
"..Dezembro/2008";330
"2009";5972
"..Janeiro/2009";292
"..Fevereiro/2009";312
"..Março/2009";571
"..Abril/2009";729
"..Maio/2009";849
"..Junho/2009";561
"..Julho/2009";553
"..Agosto/2009";563
"..Setembro/2009";447
"..Outubro/2009";430
"..Novembro/2009";368
"..Dezembro/2009";297
"2010";3477
"..Janeiro/2010";358
"..Fevereiro/2010";301
"..Março/2010";311
"..Abril/2010";379
"..Maio/2010";350
"..Junho/2010";342
"..Julho/2010";291
"..Agosto/2010";235
"..Setembro/2010";196
"..Outubro/2010";223
"..Novembro/2010";233
"..Dezembro/2010";258
"2011";3719
"..Janeiro/2011";366
"..Fevereiro/2011";367
"..Março/2011";453
"..Abril/2011";499
"..Maio/2011";386
"..Junho/2011";279
"..Julho/2011";254
"..Agosto/2011";241
"..Setembro/2011";254
"..Outubro/2011";201
"..Novembro/2011";199
"..Dezembro/2011";220
"2012";2497
"..Janeiro/2012";200
"..Fevereiro/2012";170
"..Março/2012";243
"..Abril/2012";252
"..Maio/2012";258
"..Junho/2012";257
"..Julho/2012";200
"..Agosto/2012";180
"..Setembro/2012";201
"..Outubro/2012";180
"..Novembro/2012";203
"..Dezembro/2012";153
"2013";2729
"..Janeiro/2013";181
"..Fevereiro/2013";211
"..Março/2013";267
"..Abril/2013";318
"..Maio/2013";385
"..Junho/2013";261
"..Julho/2013";236
"..Agosto/2013";197
"..Setembro/2013";158
"..Outubro/2013";171
"..Novembro/2013";185
"..Dezembro/2013";159
"2014";2117
"..Janeiro/2014";193
"..Fevereiro/2014";138
"..Março/2014";188
"..Abril/2014";203
"..Maio/2014";276
"..Junho/2014";242
"..Julho/2014";157
"..Agosto/2014";183
"..Setembro/2014";143
"..Outubro/2014";152
"..Novembro/2014";124
"..Dezembro/2014";118
"2015";1529
"..Janeiro/2015";107
"..Fevereiro/2015";116
"..Março/2015";188
"..Abril/2015";260
"..Maio/2015";226
"..Junho/2015";135
"..Julho/2015";113
"..Agosto/2015";103
"..Setembro/2015";84
"..Outubro/2015";70
"..Novembro/2015";64
"..Dezembro/2015";63
"2016";1179
"..Janeiro/2016";69
"..Fevereiro/2016";96
"..Março/2016";114
"..Abril/2016";148
"..Maio/2016";130
"..Junho/2016";114
"..Julho/2016";108
"..Agosto/2016";72
"..Setembro/2016";101
"..Outubro/2016";93
"..Novembro/2016";73
"..Dezembro/2016";61
"2017";1402
"..Janeiro/2017";98
"..Fevereiro/2017";125
"..Março/2017";200
"..Abril/2017";143
"..Maio/2017";138
"..Junho/2017";132
"..Julho/2017";82
"..Agosto/2017";100
"..Setembro/2017";98
"..Outubro/2017";94
"..Novembro/2017";90
"..Dezembro/2017";102
"2018";1767
"..Janeiro/2018";93
"..Fevereiro/2018";82
"..Março/2018";145
"..Abril/2018";222
"..Maio/2018";249
"..Junho/2018";174
"..Julho/2018";185
"..Agosto/2018";141
"..Setembro/2018";128
"..Outubro/2018";108
"..Novembro/2018";138
"..Dezembro/2018";102
"2019";1608
"..Janeiro/2019";120
"..Fevereiro/2019";142
"..Março/2019";209
"..Abril/2019";244
"..Maio/2019";203
"..Junho/2019";122
"..Julho/2019";97
"..Agosto/2019";118
"..Setembro/2019";81
"..Outubro/2019";92
"..Novembro/2019";103
"..Dezembro/2019";77
"2020";1228
"..Janeiro/2020";106
"..Fevereiro/2020";125
"..Março/2020";223
"..Abril/2020";134
"..Maio/2020";123
"..Junho/2020";82
"..Julho/2020";87
"..Agosto/2020";78
"..Setembro/2020";94
"..Outubro/2020";68
"..Novembro/2020";49
"..Dezembro/2020";59
"2021";117
"  Janeiro/2021";71
"  Fevereiro/2021";46